CATEGORY,ITEM CODE,DESCRIPTION,SUPPLIER,UNIT PRICE,OPENING STOCKS,PURCHASE QUANTITY,SALES QUANTITY,ENDING STOCKS,RETAIL PRICE
BRAKE,BRA070,BRAKE SHOE MIO/SOUL - MAKOTO,BAMC,170,5,0,0,5,220
BRAKE,BRA071,BRAKE SHOE MIO/SPORTY/AMORE/NOUVO - MRTR,BAMC,110,6,0,0,6,200
BRAKE,BRA069,BRAKE SHOE MIOM3 - MAKOTO,WALKIN,161,2,0,0,2,230
BRAKE,BRA090,BRAKE SHOE MIXED,WALKIN,80,10,0,0,10,150
BRAKE,BRA124,BRAKE SHOE REAR HD3/CT125/RS125 - SKS,ARB18,80,6,0,0,6,150
BRAKE,BRA073,BRAKE SHOE SKYDRIVE,WALKIN,160,1,0,0,1,200
BRAKE,BRA084,BRAKE SHOE SKYDRIVE - KRYON,ARB18,103,4,0,0,4,180
BRAKE,BRA082,BRAKE SHOE TMX FR - KRYON,ARB18,88,4,0,0,4,150
BRAKE,BRA075,BRAKE SHOE TMX FR - KRYON,WALKIN,100,0,0,0,0,170
BRAKE,BRA083,BRAKE SHOE TMX RR - MSB,ARB18,89,0,0,0,0,150
BRAKE,BRA076,BRAKE SHOE TMX SUPREMO RUBBERIZED W/O CANAL,BAMC,122,4,0,0,4,220
BRAKE,BRA116,BRAKE SHOE TMX155 REAR SKS,ARB18,80,1,0,0,1,150
BRAKE,BRA077,BRAKE SHOE TMX155 RR - MAKOTO,WALKIN,180,0,0,0,0,160
BRAKE,BRA086,BRAKE SHOE XRM - MAKOTO,ARB18,100,0,0,0,0,150
BRAKE,BRA126,BRAKE SHOE XRM - SKS,ARB18,63,2,0,0,2,120
ELECTRICAL,ELE376,BULB G18,WEDZZ,5,53,0,0,53,30
ELECTRICAL,ELE375,BULB HEAD LIGHT B35,WEDZZ,18,13,0,0,13,40
ELECTRICAL,ELE237,BULB HEAD LIGHT B35 - SUNTAL,WALKIN,30,2,0,0,2,60
ELECTRICAL,ELE240,BULB HEAD LIGHT B35 12V/35W CSL,ARB18,15,1,0,0,1,40
ELECTRICAL,ELE243,BULB HEAD LIGHT B35 H6 FISH EYE,ONLINE,100,7,0,0,7,160
ELECTRICAL,ELE322,BULB HEAD LIGHT B35 H6 FISH EYE LED - ANH,ONLINE,116.68,5,0,0,5,180
ELECTRICAL,ELE245,BULB HEAD LIGHT B35 HALOGEN - QUANTUM,PANGMASA,45,19,0,0,19,100
ELECTRICAL,ELE249,BULB HEAD LIGHT B35 HALOGEN 35W ALL SEASON - SUNTAL,BAMC,75,7,0,0,7,125
ELECTRICAL,ELE234,BULB HEAD LIGHT B35 LED STX 3-COLOR - MAKOTO,ARB18,225,6,0,0,6,350
ELECTRICAL,ELE302,BULB HEAD LIGHT B35 LED TMX 3-COLOR - MAKOTO,ARB18,235,6,0,0,6,350
ELECTRICAL,ELE252,BULB HEAD LIGHT B35 ORDINARY,PANGMASA,13,0,0,0,0,40
ELECTRICAL,ELE321,BULB HEAD LIGHT B35/STX125 DUAL COLOR FISH EYE LED - MSM,ONLINE,131,0,0,0,0,180
ELECTRICAL,ELE254,BULB HEAD LIGHT COOL BLUE - OSRAM,WALKIN,15,1,0,0,1,65
ELECTRICAL,ELE256,BULB HEAD LIGHT H4 FISH EYE,ONLINE,100,6,0,0,6,160
ELECTRICAL,ELE258,BULB HEAD LIGHT H4 HALOGEN,PANGMASA,75,0,0,0,0,140
ELECTRICAL,ELE260,BULB HEAD LIGHT H4 LED COOL WHITE OSRAM,BAMC,120,0,0,0,0,170
ELECTRICAL,ELE261,BULB HEAD LIGHT H4 YSK,ARB18,24,14,0,0,14,50
ELECTRICAL,ELE262,BULB HEAD LIGHT HALOGEN BARAKO - MAKOTO,WALKIN,59,1,0,0,1,100
ELECTRICAL,ELE263,BULB HEAD LIGHT HALOGEN XRM - MAKOTO,WALKIN,64,1,0,0,1,100
ELECTRICAL,ELE265,BULB HEAD LIGHT T19 12V/35W CSL,ARB18,8,0,0,0,0,30
ELECTRICAL,ELE323,BULB HEAD LIGHT T19 FISH EYE LED - ANH,ONLINE,110.68,0,0,0,0,180
ELECTRICAL,ELE266,BULB HEAD LIGHT T19 HALOGEN 35W ALL SEASON - SUNTAL,BAMC,70,3,0,0,3,120
ELECTRICAL,ELE267,BULB HEAD LIGHT T19 LED - SUNTAL,BAMC,170,0,0,0,0,220
ELECTRICAL,ELE268,BULB HEAD LIGHT T19 LED - TVR BOHLAN,PANGMASA,110,0,0,0,0,160
ELECTRICAL,ELE269,BULB HEAD LIGHT T19 ORDINARY,PANGMASA,6.5,9,0,0,9,25
ELECTRICAL,ELE317,BULB HEAD LIGHT T19 ORDINARY - YSK,ARB18,8,28,0,0,28,40
ELECTRICAL,ELE270,BULB HEAD LIGHT T19L ORDINARY SUNTAL,WALKIN,15,0,0,0,0,30
ELECTRICAL,ELE246,BULB LED 3-COLORS STX - MAKOTO,ARB18,235,11,0,0,11,350
ELECTRICAL,ELE310,BULB LED HEADLIGHT,WALKIN,50,4,0,0,4,120
ELECTRICAL,ELE324,BULB PARK LIGHT T10 PEANUT LED ICE BLUE,ONLINE,32.66,1,0,0,1,80
ELECTRICAL,ELE325,BULB PARK LIGHT T10 PEANUT LED JELLY GREEN,ONLINE,32.66,5,0,0,5,80
ELECTRICAL,ELE329,BULB PARK LIGHT T10 PEANUT LED JELLY RED,ONLINE,32.66,8,0,0,8,80
ELECTRICAL,ELE328,BULB PARK LIGHT T10 PEANUT LED JELLY WHITE,ONLINE,32.66,2,0,0,2,80
ELECTRICAL,ELE326,BULB PARK LIGHT T10 PEANUT LED PINK,ONLINE,32.66,4,0,0,4,80
ELECTRICAL,ELE327,BULB PARK LIGHT T10 PEANUT LED YELLOW,ONLINE,32.66,10,0,0,10,80
ELECTRICAL,ELE271,BULB PARK LIGHT T15 LED DOUBLE CONTACT WHITE/YELLOW,WALKIN,169,1,0,0,1,250
ELECTRICAL,ELE331,BULB PARK LIGHT T15 LED RED - YIYMP,ONLINE,62.66,8,0,0,8,120
ELECTRICAL,ELE273,BULB PARK LIGHT T15 ORDINARY,WALKIN,97,0,0,0,0,150
ELECTRICAL,ELE275,BULB SIGNAL LIGHT T13 - IMARFLEX,PANGMASA,7,6,0,0,6,20
ELECTRICAL,ELE276,BULB SIGNAL LIGHT T13 - OSRAM,WALKIN,25,1,0,0,1,35
ELECTRICAL,ELE330,BULB SIGNAL/PARK LIGHT T15 LED DOUBLE CONTACT ICE BLUE/YELLOW,ONLINE,142.66,10,0,0,10,250
ELECTRICAL,ELE277,BULB T10 PEANUT,ARB18,3,3,0,0,3,20
ELECTRICAL,ELE379,BULB T19,WEDZZ,7,27,0,1,26,20
ELECTRICAL,ELE377,BULB T5 (SMALL),WEDZZ,2,200,0,0,200,15
ELECTRICAL,ELE278,BULB T5 LED BLUE PEANUT,WALKIN,12,2,0,0,2,30
ELECTRICAL,ELE279,BULB T5 LED GREEN PEANUT,WALKIN,12,2,0,0,2,30
ELECTRICAL,ELE280,BULB T5 LED ICE BLUE PEANUT,WALKIN,12,1,0,0,1,30
ELECTRICAL,ELE281,BULB T5 LED PINK PEANUT,WALKIN,12,2,0,0,2,30
ELECTRICAL,ELE282,BULB T5 LED RED PEANUT,WALKIN,12,2,0,0,2,30
ELECTRICAL,ELE283,BULB T5 LED WHITE PEANUT,WALKIN,12,2,0,0,2,30
ELECTRICAL,ELE284,BULB T5 LED YELLOW PEANUT,WALKIN,12,2,0,0,2,30
ELECTRICAL,ELE378,BULB TAIL LIGHT S25,WEDZZ,6,0,0,0,0,20
ELECTRICAL,ELE427,BULB TAIL LIGHT S25 12V 21/5W - CSL,ARB18,7,40,0,1,39,25
ELECTRICAL,ELE286,BULB TAIL LIGHT S25 ORDINARY,PANGMASA,6.5,0,0,0,0,25
ELECTRICAL,ELE314,BULB TAIL LIGHT S25 ORDINARY - SUNTAL,ARB18,9,0,0,0,0,30
ELECTRICAL,ELE430,BULB TAIL LIGHT S25 ORDINARY - YSK,ARB18,8,37,0,1,36,25
BUSHING,BUS001,BUSHING RUBBER HANGER ADO150/11103-RUB-901,WALKIN,400,2,0,0,2,520
BUSHING,BUS002,BUSHING RUBBER NMAX V1/2DP - P7114-00,WALKIN,180,2,0,0,2,250
BUSHING,BUS003,BUSHING STEEL TMX,WEDZZ,55,0,0,0,0,100
BUSHING,BUS004,BUSHING SWING ARM CT100 - IMARFLEX,PANGMASA,75,1,0,0,1,130
BUSHING,BUS005,BUSHING SWING ARM GY6 - DEXIUNG,PANGMASA,45,3,0,0,3,100
BUSHING,BUS006,BUSHING SWING ARM RS100 - IMARFLEX,PANGMASA,75,2,0,0,2,130
BUSHING,BUS007,BUSHING SWING ARM TMX - KHC,PANGMASA,25,3,0,0,3,80
BUSHING,BUS008,BUSHING SWING ARM XRM - OTAKA,PANGMASA,45,3,0,0,3,100
ACCESSORIES,ACS011,BUTTERFLY EURO,WEDZZ,196,0,0,0,0,320
